ISO Code,CountryName,Year,Preterm,Intrapartum,Sepsis,Tetanus,Congenital,Pneumonia,Diarrhoea,Malaria,AIDS,Measles,Injury,Meningitis,Other,Total,Pneumonia (Newborn),Preterm (Newborn),Intrapartum (Newborn),Sepsis (Newborn),Tetanus (Newborn),Congenital (Newborn),Diarrhoea (Newborn),Other (Newborn),"Pneumonia 
(1-59 months)","Diarrhoea
(1-59 months)","Malaria
(1-59 months)","AIDS
(1-59 months)","Measles
(1-59 months)","Injuries 
(1-59 months)","Meningitis 
(1-59 months)","Other 
(1-59 months)",Total,Pneumonia ,Diarrhoea ,Malaria ,AIDS ,Measles ,Injuries ,Meningitis ,Other ,Total,Pneumonia ,Preterm ,Intrapartum ,Sepsis ,Tetanus ,Congenital ,Diarrhoea ,Other ,Total
FJI,Fiji,2016,17,6.4,4.2,0.2,20.2,12,3.8,0,0.1,0,15.3,2.1,18.5,100,2,15.3,5.6,4.2,0.2,8.4,0,4,10,3.8,0,0.1,0,14.9,2.1,29.4,100,16.6,6.4,0,0.2,0,24.6,3.5,48.8,100,5,38.5,14.2,10.5,0.6,21.1,0,10.1,100
FIN,Finland,2016,19,8.5,2.9,0,34.7,2.2,0.4,0,0,0,7.5,1,23.8,100,0.4,15.3,8,2.9,0,18.8,0,6.7,1.8,0.4,0,0,0,7.5,1,37.1,100,3.8,0.9,0,0,0,15.7,2.1,77.6,100,0.8,29.3,15.4,5.6,0,36,0,12.9,100
FRA,France,2016,21.4,10.2,4.7,0,25.3,1.1,0.7,0,0,0,5.8,0.9,29.7,100,0.2,17.9,9.3,4.7,0,15.5,0,13.7,0.9,0.7,0,0,0,5.6,0.9,30.5,100,2.4,1.9,0,0,0,14.4,2.4,78.8,100,0.3,29.2,15.1,7.7,0,25.3,0,22.4,100
GAB,Gabon,2016,16.5,11.6,6.8,0.2,9,12.9,5.7,6.4,4.5,8.6,4.7,0.8,12.2,100,2.7,14.9,10.8,6.8,0.2,5.4,0.2,2.5,10.2,5.5,6.4,4.4,8.6,4.3,0.8,16.1,100,18.1,9.8,11.4,7.9,15.2,7.7,1.4,28.6,100,6.2,34.2,24.9,15.7,0.5,12.5,0.4,5.6,100
GMB,Gambia The,2016,13.3,13.8,9.6,0.3,7.9,14.4,8.8,4,1.5,0.6,7.2,1.6,17.1,100,2.9,11,12.6,9.6,0.3,4.1,0.1,2.7,11.5,8.7,4,1.4,0.6,6.8,1.6,22.1,100,20.3,15.3,7.1,2.5,1.1,11.9,2.9,38.9,100,6.7,25.5,29.1,22.2,0.6,9.5,0.3,6.2,100
GEO,Georgia,2016,27.7,8.6,4.7,0,27.6,6.7,0.7,0,1.1,0,7.5,1,14.5,100,2.6,26.8,7.5,4.7,0,18.1,0,5.3,4,0.7,0,1.1,0,6.7,1,21.4,100,11.5,2,0,3,0,19.3,2.9,61.3,100,4.1,41.2,11.5,7.2,0,27.9,0,8.1,100
DEU,Germany,2016,28.1,7.3,2,0,31.6,1.8,0.4,0,0,0,4.6,0.8,23.4,100,0.2,24.3,6.2,2,0,18,0,10.3,1.5,0.4,0,0,0,4.2,0.8,32,100,4,0.9,0,0,0,10.7,2.1,82.2,100,0.4,39.8,10.2,3.2,0,29.5,0,16.9,100
GHA,Ghana,2016,15.6,13.9,8.4,0.3,8.2,11.9,6.4,11.1,3.2,0.2,5.7,0.9,14.1,100,3,14,12.9,8.4,0.3,4.8,0.2,2.8,8.9,6.2,11.1,3.1,0.2,5.2,0.9,18,100,16.6,11.6,20.6,5.9,0.3,9.8,1.7,33.5,100,6.5,30.1,27.7,18.2,0.7,10.4,0.4,6,100
GRC,Greece,2016,34,5,0.9,0,37.1,4.4,0,0,0,0,4.5,0.9,13.2,100,0.3,32.9,4.9,0.9,0,17.5,0,2.4,4,0,0,0,0,4.3,0.9,31.9,100,9.8,0,0,0,0,10.4,2.2,77.6,100,0.6,55.8,8.4,1.6,0,29.6,0,4,100
GRD,Grenada,2016,15.3,17.3,9.3,0,12.2,11.4,0,0,0,0,13.9,0,20.6,100,2.7,12,17.3,9.3,0,9.3,0,2.7,8.8,0,0,0,0,12.5,0,25.6,100,18.7,0,0,0,0,26.8,0,54.5,100,5,22.5,32.5,17.5,0,17.5,0,5,100
GTM,Guatemala,2016,15.9,13.2,8.4,0,11.9,16,6.4,0,1.2,0,9,1.2,16.7,100,2.9,13.5,12.4,8.4,0,8.2,0.2,4,13.1,6.2,0,1.2,0,8,1.2,20.8,100,26,12.3,0,2.4,0,15.8,2.4,41.2,100,5.9,27.2,25,17,0,16.5,0.4,8,100
